MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,2034762,8,0,8,1,N,0,50354897,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034762,9,0,9,1,N,0,50354897,9,90,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034762,10,0,10,1,N,0,50354897,10,100,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034762,11,0,11,1,N,0,50354897,11,110,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2034762,12,0,12,1,N,0,50354897,12,120,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034762,13,0,13,1,N,0,50354897,13,130,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2052295,1,0,1,1,N,0,50354898,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2052295,2,0,2,1,N,0,50354898,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052295,3,0,3,1,N,0,50354898,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052295,4,0,4,1,N,0,50354898,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052295,5,0,5,1,N,0,50354898,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052295,6,0,8,1,N,0,50354898,8,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052295,7,0,9,1,N,0,50354898,9,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052295,8,0,10,1,N,0,50354898,10,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052295,9,0,11,1,N,0,50354898,11,90,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2052295,10,0,12,1,N,0,50354898,12,100,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052295,11,0,13,1,N,0,50354898,13,110,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2052297,1,0,1,1,N,0,50354898,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2052297,2,0,2,1,N,0,50354898,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052297,3,0,3,1,N,0,50354898,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052297,4,0,4,1,N,0,50354898,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052297,5,0,5,1,N,0,50354898,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052297,6,0,8,1,N,0,50354898,8,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052297,7,0,9,1,N,0,50354898,9,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052297,8,0,10,1,N,0,50354898,10,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052297,9,0,11,1,N,0,50354898,11,90,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2052297,10,0,12,1,N,0,50354898,12,100,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052297,11,0,13,1,N,0,50354898,13,110,US01,10005778,,US02,MMQA001,QUALITY,,EN,
