week,state,brandcorp,revenue
2020-10-12,SD,CASAMIGOS,1163
2020-10-12,CA-N,CASAMIGOS,146709
2020-10-12,SD,CAZADORES,508
2020-10-12,FL,DON JULIO,593509
2020-10-12,WA,CAZADORES,20836
2020-10-12,IN,DON JULIO,78315
2020-10-12,TX,LUNAZUL,117633
2020-10-12,SD,LUNAZUL,198
2020-10-12,NV,LUNAZUL,2832
2020-10-12,SD,ESPOLON,866
2020-10-12,HI,CAZADORES,9625
2020-10-12,NV,ESPOLON,28950
2020-10-12,KY,CASAMIGOS,15953
2020-10-12,DC,CASAMIGOS,15050
2020-10-12,KY,ESPOLON,9430
2020-10-12,DE,CAZADORES,5285
2020-10-12,NM,ESPOLON,21661
2020-10-12,NY-U,CAZADORES,8164
2020-10-12,CA-N,ESPOLON,22231
2020-10-12,NM,CAZADORES,5626
2020-10-12,KS,ESPOLON,12018
2020-10-12,NM,CASAMIGOS,10758
2020-10-12,NE,DON JULIO,1556
2020-10-12,CO,LUNAZUL,27938
2020-10-12,SC,CASAMIGOS,109819
2020-10-12,MD,ESPOLON,49811
2020-10-12,NE,LUNAZUL,2501
2020-10-12,NV,DON JULIO,93333
2020-10-12,MD,CAZADORES,639
2020-10-12,AR,CASAMIGOS,142
2020-10-12,SC,CAZADORES,5775
2020-10-12,HI,CASAMIGOS,11832
2020-10-12,HI,DON JULIO,7663
2020-10-12,MN,CASAMIGOS,30128
2020-10-12,MN,LUNAZUL,4010
2020-10-12,MO,DON JULIO,107228
2020-10-12,IL,LUNAZUL,20427
2020-10-12,MO,CASAMIGOS,17298
2020-10-12,NY-M,CASAMIGOS,2423040
2020-10-12,AR,ESPOLON,3744
2020-10-12,KY,LUNAZUL,3386
2020-10-12,MN,CAZADORES,2555
2020-10-12,TX,CASAMIGOS,347596
2020-10-12,HI,ESPOLON,6493
2020-10-12,KY,CAZADORES,4581
2020-10-12,AZ,CAZADORES,9345
2020-10-12,NY-M,ESPOLON,215320
2020-10-12,HI,LUNAZUL,845
2020-10-12,IL,CAZADORES,23833
2020-10-12,FL,LUNAZUL,32987
2020-10-12,CA-S,CAZADORES,57232
2020-10-12,NY-U,CASAMIGOS,68615
2020-10-12,NV,CASAMIGOS,79574
2020-10-12,DE,ESPOLON,56079
2020-10-12,MN,DON JULIO,7851
2020-10-12,ND,CAZADORES,208
2020-10-12,NY-M,DON JULIO,151597
2020-10-12,MO,ESPOLON,26880
2020-10-12,WA,CASAMIGOS,37722
2020-10-12,LA,CASAMIGOS,43549
2020-10-12,CA-N,LUNAZUL,29880
2020-10-12,KS,LUNAZUL,4318
2020-10-12,CO,CASAMIGOS,101051
2020-10-12,NY-U,DON JULIO,37756
2020-10-12,IN,CASAMIGOS,22681
2020-10-12,DC,ESPOLON,14773
2020-10-12,WA,DON JULIO,971
2020-10-12,NE,CAZADORES,1861
2020-10-12,NM,DON JULIO,14620
2020-10-12,LA,ESPOLON,25474
2020-10-12,FL,CASAMIGOS,420561
2020-10-12,DE,CASAMIGOS,44915
2020-10-12,NE,ESPOLON,2651
2020-10-12,NY-M,CAZADORES,22105
2020-10-12,IN,CAZADORES,6551
2020-10-12,DC,LUNAZUL,1830
2020-10-12,DC,CAZADORES,632
2020-10-19,NY-U,DON JULIO,50264
2020-10-19,IL,LUNAZUL,12495
2020-10-19,DC,CAZADORES,808
2020-10-19,FL,ESPOLON,90903
2020-10-19,LA,CASAMIGOS,37741
2020-10-19,CO,LUNAZUL,31040
2020-10-19,LA,LUNAZUL,23676
2020-10-19,WA,CAZADORES,6637
2020-10-19,SD,CAZADORES,308
2020-10-19,DC,CASAMIGOS,44009
2020-10-19,MO,CASAMIGOS,16925
2020-10-19,IN,CASAMIGOS,25890
2020-10-19,MD,CASAMIGOS,78838
2020-10-19,IN,DON JULIO,87504
2020-10-19,NE,CASAMIGOS,6675
2020-10-19,NV,ESPOLON,35167
2020-10-19,MD,ESPOLON,55016
2020-10-19,CO,CASAMIGOS,80839
2020-10-19,TX,DON JULIO,202236
2020-10-19,MO,DON JULIO,89283
2020-10-19,DE,LUNAZUL,2119
2020-10-19,WA,CASAMIGOS,13326
2020-10-19,NV,DON JULIO,20249
2020-10-19,KY,DON JULIO,31194
2020-10-19,MN,CAZADORES,1087
2020-10-19,CA-S,DON JULIO,813705
2020-10-19,NY-M,ESPOLON,274008
2020-10-19,NY-M,DON JULIO,177628
2020-10-19,NV,CASAMIGOS,88172
2020-10-19,FL,LUNAZUL,34175
2020-10-19,CA-N,DON JULIO,544355
2020-10-19,NE,CAZADORES,1376
2020-10-19,FL,CAZADORES,20597
2020-10-19,WA,LUNAZUL,14079
2020-10-19,FL,DON JULIO,522067
2020-10-19,DE,CASAMIGOS,30139
2020-10-19,DC,LUNAZUL,909
2020-10-19,TX,CAZADORES,28826
2020-10-19,ND,CASAMIGOS,1864
2020-10-19,WA,DON JULIO,14711
2020-10-19,KS,ESPOLON,10332
2020-10-19,WA,ESPOLON,31398
2020-10-19,NY-U,CAZADORES,1386
2020-10-19,HI,CASAMIGOS,9889
2020-10-19,NY-M,CASAMIGOS,1180150
2020-10-19,IN,CAZADORES,9636
2020-10-19,MN,CASAMIGOS,17956
2020-10-19,ND,LUNAZUL,170
2020-10-19,AZ,CASAMIGOS,65650
2020-10-19,HI,ESPOLON,6877
2020-10-19,DE,CAZADORES,2365
2020-10-19,NY-U,CASAMIGOS,88917
2020-10-19,HI,LUNAZUL,506
2020-10-19,MD,CAZADORES,1771
2020-10-19,SD,CASAMIGOS,834
2020-10-19,NY-U,ESPOLON,101530
2020-10-19,MD,LUNAZUL,9826
2020-10-19,NE,ESPOLON,4058
2020-10-19,NM,CAZADORES,5168
2020-10-19,LA,CAZADORES,3176
2020-10-19,KY,CASAMIGOS,22345
2020-10-19,ND,ESPOLON,1873
2020-10-19,MO,LUNAZUL,22461
2020-10-19,NM,DON JULIO,9103
2020-10-19,IL,CAZADORES,19576
2020-10-19,KY,ESPOLON,13776
2020-10-19,SC,CASAMIGOS,57795
2020-10-19,AZ,CAZADORES,13980
2020-10-19,AZ,LUNAZUL,4972
2020-10-19,NM,ESPOLON,9843
2020-10-19,IN,ESPOLON,40775
2020-10-19,MN,ESPOLON,13752
2020-10-19,DE,ESPOLON,7831
2020-10-19,AR,CASAMIGOS,696
2020-10-19,SC,CAZADORES,1308
2020-10-19,TX,CASAMIGOS,280360
2020-10-19,KY,LUNAZUL,6958
2020-10-19,CA-S,LUNAZUL,36715
2020-10-19,NE,DON JULIO,1436
2020-10-19,CA-S,CAZADORES,94969
2020-10-19,KS,LUNAZUL,4421
2020-10-19,FL,CASAMIGOS,429040
2020-10-19,NM,CASAMIGOS,9109
2020-10-19,LA,ESPOLON,39000
2020-10-19,IL,CASAMIGOS,178777
2020-10-19,DC,ESPOLON,15200
2020-10-19,CA-N,LUNAZUL,16562
2020-10-19,TX,LUNAZUL,100268
2020-10-19,NV,LUNAZUL,3110
2020-10-19,KS,CASAMIGOS,6519
2020-10-19,CA-S,ESPOLON,416080
2020-10-19,SC,ESPOLON,72339
2020-10-19,MN,LUNAZUL,2092
2020-10-19,ND,CAZADORES,21
2020-10-19,CA-N,CAZADORES,50955
2020-10-19,KY,CAZADORES,4185
2020-10-19,NE,LUNAZUL,1495
2020-10-19,LA,DON JULIO,101348
2020-10-19,NY-M,CAZADORES,16760
2020-10-19,TX,ESPOLON,132242
2020-10-19,SD,ESPOLON,1478
2020-10-19,CA-N,CASAMIGOS,138516
2020-10-19,IN,LUNAZUL,13216
2020-10-19,CO,ESPOLON,127831
2020-10-19,MN,DON JULIO,3781
2020-10-19,HI,CAZADORES,9646
2020-10-19,CA-N,ESPOLON,17622
2020-10-19,AR,ESPOLON,4870
2020-10-19,HI,DON JULIO,9949
2020-10-19,MO,CAZADORES,1491
2020-10-19,CA-S,CASAMIGOS,998080
2020-10-19,AZ,ESPOLON,24540
2020-10-19,MO,ESPOLON,31376
2020-10-19,CO,CAZADORES,16976
2020-10-19,IL,ESPOLON,34528
2020-10-19,NY-M,LUNAZUL,23614
2020-10-19,NY-U,LUNAZUL,11918
2020-10-19,SD,LUNAZUL,198
2020-10-26,NE,LUNAZUL,2363
2020-10-26,WA,ESPOLON,7806
2020-10-26,FL,ESPOLON,133276
2020-10-26,CA-N,LUNAZUL,27407
2020-10-26,CO,LUNAZUL,22681
2020-10-26,LA,CAZADORES,1019
2020-10-26,NV,DON JULIO,148206
2020-10-26,AZ,LUNAZUL,5950
2020-10-26,IL,CASAMIGOS,113724
2020-10-26,CA-S,DON JULIO,874858
2020-10-26,MO,LUNAZUL,22309
2020-10-26,CO,CAZADORES,22667
2020-10-26,IN,LUNAZUL,10132
2020-10-26,AZ,ESPOLON,32198
2020-10-26,KY,DON JULIO,28170
2020-10-26,SC,CASAMIGOS,41347
2020-10-26,NY-M,CASAMIGOS,607840
2020-10-26,MD,CAZADORES,1643
2020-10-26,TX,LUNAZUL,293433
2020-10-26,FL,LUNAZUL,43528
2020-10-26,FL,CASAMIGOS,401735
2020-10-26,HI,CASAMIGOS,11080
2020-10-26,SC,ESPOLON,239131
2020-10-26,CA-S,CASAMIGOS,630202
2020-10-26,CA-S,ESPOLON,305347
2020-10-26,MO,CAZADORES,4651
2020-10-26,CO,CASAMIGOS,86111
2020-10-26,DE,LUNAZUL,883
2020-10-26,LA,LUNAZUL,12184
2020-10-26,IN,CASAMIGOS,45996
2020-10-26,CA-N,CAZADORES,59346
2020-10-26,DC,ESPOLON,11394
2020-10-26,SD,CAZADORES,243
2020-10-26,HI,LUNAZUL,754
2020-10-26,MD,ESPOLON,62930
2020-10-26,WA,DON JULIO,92742
2020-10-26,NE,CASAMIGOS,6961
2020-10-26,DC,CASAMIGOS,60219
2020-10-26,DC,CAZADORES,432
2020-10-26,WA,LUNAZUL,32620
2020-10-26,KS,CASAMIGOS,18947
2020-10-26,CA-N,CASAMIGOS,140766
2020-10-26,KY,LUNAZUL,5951
2020-10-26,NM,CAZADORES,3649
2020-10-26,HI,ESPOLON,9106
2020-10-26,ND,CASAMIGOS,2004
2020-10-26,MN,CAZADORES,3783
2020-10-26,WA,CAZADORES,6399
2020-10-26,NV,LUNAZUL,5184
2020-10-26,KS,ESPOLON,30411
2020-10-26,TX,DON JULIO,516597
2020-10-26,DC,LUNAZUL,1917
2020-10-26,IL,CAZADORES,41121
2020-10-26,NE,CAZADORES,2594
2020-10-26,NM,CASAMIGOS,6685
2020-10-26,MD,CASAMIGOS,90131
2020-10-26,NY-M,CAZADORES,22740
2020-10-26,SD,CASAMIGOS,1505
2020-10-26,WA,CASAMIGOS,23401
2020-10-26,MN,ESPOLON,15730
2020-10-26,NY-U,CASAMIGOS,80564
2020-10-26,IL,LUNAZUL,6510
2020-10-26,TX,ESPOLON,123334
2020-10-26,KS,LUNAZUL,6884
2020-10-26,CA-N,ESPOLON,216496
2020-10-26,ND,LUNAZUL,170
2020-10-26,IL,ESPOLON,45425
2020-10-26,NY-M,LUNAZUL,24887
2020-10-26,NY-U,DON JULIO,63747
2020-10-26,MO,DON JULIO,87815
2020-10-26,TX,CAZADORES,41761
2020-10-26,MN,DON JULIO,4001
2020-10-26,MO,ESPOLON,49388
2020-10-26,KY,CASAMIGOS,11310
2020-10-26,NY-M,ESPOLON,370069
2020-10-26,KY,CAZADORES,2482
2020-10-26,AZ,CASAMIGOS,93955
2020-10-26,MO,CASAMIGOS,18512
2020-10-26,NY-U,CAZADORES,4466
2020-10-26,ND,CAZADORES,240
2020-10-26,FL,CAZADORES,26476
2020-10-26,CA-N,DON JULIO,237704
2020-10-26,ND,ESPOLON,1502
2020-10-26,LA,ESPOLON,14581
2020-10-26,SD,LUNAZUL,492
2020-10-26,AZ,CAZADORES,22921
2020-10-26,NV,CASAMIGOS,91049
2020-10-26,HI,CAZADORES,6661
2020-10-26,IN,DON JULIO,61516
2020-10-26,KY,ESPOLON,9412
2020-10-26,LA,DON JULIO,57910
2020-10-26,AR,CASAMIGOS,1276
2020-10-26,NE,DON JULIO,35735
2020-10-26,SC,CAZADORES,3252
