	MANDT	AUFNR				POSNR		PSOBS	QUNUM	QUPOS	PROJN				PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS
	001	25002135575				0001		E		000	FP.590281.R.CU.ST.C				471826778	07/08/2014	07/01/2014		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002135605				0001		E		000	FP.514462.R.BV.CP				471923597	07/30/2014	07/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002135607				0001		E		000	FP.514462.R.BV.CP				471896628	07/30/2014	07/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002135609				0001		E		000	FP.520569.R.BV.AI				472007667	07/28/2014	07/15/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002136453				0001		E		000	EP.44DV01.F.1.ST					07/09/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002136456				0001		E		000	EP.44DV01.F.1.ST					07/09/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002137246				0001		E		000	EP.590260.F.R.BA.S2				471795919	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002137248				0001		E		000	EP.590260.F.R.BA.S2				472201262	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002137249				0001		E		000	EP.590260.F.R.BA.S2				472199074	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002137259				0001		E		000	EP.590260.F.R.BA.S2				472199857	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002137371				0001		E		000	FD.NJEH26.D.MH					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002137381				0001		E		000	EP.590260.F.R.CU.S2				471841574	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148083				0001		E		000	EP.590278.F.R.CU.AL				475156924	09/09/2014	09/02/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148098				0001		E		000	FP.580710.R.BA.AL				474757104	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148099				0001		E		000	EP.590278.F.R.BA.AL				474757892	10/07/2014	09/30/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148191				0001		E		000	EP.590278.F.R.BA.AL				475164884	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148224				0001		E		000	EP.590278.F.R.BA.AL				475167135	09/22/2014	09/15/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148227				0001		E		000	FP.580710.R.BA.AL				474786522	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148490				0001		E		000	EP.590278.F.R.BA.AL				474765432	08/26/2014	08/01/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148502				0001		E		000	EP.590278.F.R.BA.AL				474828213	09/16/2014	09/09/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148511				0001		E		000	EP.590278.F.R.BA.AL				474839243	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148550				0001		E		000	EP.590278.F.R.CU.AL				474793186	09/02/2014	08/26/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148571				0001		E		000	EP.590278.F.R.BA.AL				474885959	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148577				0001		E		000	FP.580710.R.BA.AL				474889725	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148583				0001		E		000	FP.580710.R.BA.AL				474758129	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148590				0001		E		000	EP.590278.F.R.BA.AL				475221046	08/01/2014	07/21/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148604				0001		E		000	FP.580710.R.BA.AL				475227007	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148611				0001		E		000	FP.580710.R.BA.AL				475227639	09/08/2014	09/01/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002148615				0001		E		000	FP.580710.R.BA.AL				475227982	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002149795				0001		E		000	FP.520567.R.BD.ME				474893161	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002149809				0001		E		000	FP.514462.R.BD.ME				475215768	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002149812				0001		E		000	FP.514462.R.BD.ME				474958213	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002149825				0001		E		000	FP.514461.R.BD.ME				474916057	07/23/2014	07/10/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002730774				0001		E		000	EP.440220.F.6.IM				716439858	09/05/2016	08/29/2016		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002811385				0001		E		000	FP.514684.R.CF.AS				752977686	01/27/2017	01/20/2017		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002811387				0001		E		000	FP.514687.R.BF.AS				753034372	01/27/2017	01/20/2017		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002856059				0001		E		000	FP.560225.R.PG				774484095	03/15/2017	03/08/2017		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002856117				0001		E		000	FP.885013.R.BA.EL					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002856120				0001		E		000	FP.885013.R.BA.EL					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003087637				0001		E		000	EP.440506.F.1.CC.CC					02/06/2018	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096227				0001		E		000	FP.590281.R.CU.ST.A				887405350	02/14/2018	02/07/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096229				0001		E		000	EP.520729.F.R.BV.AI				885248147	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096231				0001		E		000	EP.520729.F.R.BV.AI				885517652	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096241				0001		E		000	EP.440594.F.7.CE				885950947	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096244				0001		E		000	EP.440620.F.1.CC.CC				887405857	03/01/2018	02/22/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096247				0001		E		000	EP.440481.F.6.IE.HA				887405923	02/19/2018	02/12/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096249				0001		E		000	EP.440481.F.6.IE.HA				887405795	02/19/2018	02/12/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096282				0001		E		000	EP.520729.F.R.BV.AI				885327826	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096284				0001		E		000	EP.885037.F.R.BA.A1				887405480	02/14/2018	02/07/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096287				0001		E		000	FP.590321.R.CU.AL				887404764	02/14/2018	02/07/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096301				0001		E		000	FP.514827.R.BF.AS				885231517	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
